Country,Origin,Year,Month,Value
Australia,Nepal,2016,April,17
Australia,Nepal,2016,May,29
Australia,Nepal,2016,June,21
Australia,Nepal,2016,July,11
Australia,Nepal,2016,August,14
Australia,Nepal,2016,September,12
Australia,Nepal,2016,October,12
Australia,Nepal,2016,November,9
Australia,Nepal,2016,December,5
Australia,Netherlands,2016,September,5
Australia,Syrian Arab Rep.,2016,April,8
Australia,Syrian Arab Rep.,2016,May,6
Australia,Syrian Arab Rep.,2016,June,8
Australia,Syrian Arab Rep.,2016,July,9
Australia,Syrian Arab Rep.,2016,August,8
Australia,Syrian Arab Rep.,2016,September,11
Australia,Syrian Arab Rep.,2016,October,7
Australia,Syrian Arab Rep.,2016,November,10
Australia,Syrian Arab Rep.,2016,December,7
Australia,Nigeria,2016,February,5
Australia,Nigeria,2016,March,10
Australia,Nigeria,2016,April,5
Australia,Nigeria,2016,May,8
Australia,Nigeria,2016,June,9
Australia,Nigeria,2016,July,6
Australia,Nigeria,2016,August,14
Australia,Nigeria,2016,September,17
Australia,Nigeria,2016,October,10
Australia,Nigeria,2016,November,5
Australia,Nigeria,2016,December,16
Australia,New Zealand,2016,June,5
Australia,Oman,2016,July,5
Australia,Maldives,2016,February,10
Australia,Kenya,2016,February,7
Australia,Kenya,2016,May,5
Australia,Kenya,2016,November,8
Australia,Philippines,2016,August,5
Australia,Philippines,2016,September,9
Australia,Philippines,2016,October,6
Australia,Philippines,2016,November,7
Australia,Philippines,2016,December,9
Australia,Papua New Guinea,2016,January,16
Australia,Papua New Guinea,2016,February,17
Australia,Papua New Guinea,2016,March,6
Australia,Papua New Guinea,2016,April,11
Australia,Papua New Guinea,2016,May,18
Australia,Papua New Guinea,2016,June,8
Australia,Papua New Guinea,2016,July,17
Australia,Papua New Guinea,2016,August,14
Australia,Papua New Guinea,2016,September,9
Australia,Papua New Guinea,2016,October,15
Australia,Papua New Guinea,2016,November,23
Australia,Papua New Guinea,2016,December,18
Australia,Malaysia,2016,January,387
Australia,Malaysia,2016,February,476
Australia,Malaysia,2016,March,483
Australia,Malaysia,2016,April,432
Australia,Malaysia,2016,May,588
Australia,Malaysia,2016,June,553
Australia,Malaysia,2016,July,489
Australia,Malaysia,2016,August,588
Australia,Malaysia,2016,September,623
Australia,Malaysia,2016,October,826
Australia,Malaysia,2016,November,922
Australia,Malaysia,2016,December,911
Australia,Rep. of Korea,2016,January,7
Australia,Rep. of Korea,2016,April,5
Australia,Rep. of Korea,2016,June,11
Australia,Rep. of Korea,2016,July,5
Australia,Liberia,2016,January,5
Australia,Libya,2016,February,28
Australia,Libya,2016,March,15
Australia,Libya,2016,May,26
Australia,Libya,2016,June,33
Australia,Libya,2016,July,7
Australia,Libya,2016,September,8
Australia,Libya,2016,October,5
Australia,Libya,2016,November,10
Australia,Mongolia,2016,September,6
Australia,Pakistan,2016,January,56
Australia,Pakistan,2016,February,71
Australia,Pakistan,2016,March,97
Australia,Pakistan,2016,April,108
Australia,Pakistan,2016,May,126
Australia,Pakistan,2016,June,96
Australia,Pakistan,2016,July,116
Australia,Pakistan,2016,August,129
Australia,Pakistan,2016,September,86
Australia,Pakistan,2016,October,123
Australia,Pakistan,2016,November,141
Australia,Pakistan,2016,December,194
Australia,Mauritius,2016,March,7
Australia,Mauritius,2016,May,5
Australia,Saudi Arabia,2016,May,9
Australia,Saudi Arabia,2016,June,6
Australia,Saudi Arabia,2016,July,7
Australia,Saudi Arabia,2016,December,10
Australia,Lebanon,2016,January,16
Australia,Lebanon,2016,February,20
Australia,Lebanon,2016,March,17
Australia,Lebanon,2016,April,23
Australia,Lebanon,2016,May,13
Australia,Lebanon,2016,June,14
Australia,Lebanon,2016,July,9
Australia,Lebanon,2016,August,22
Australia,Lebanon,2016,September,31
Australia,Lebanon,2016,October,20
Australia,Lebanon,2016,November,36
Australia,Lebanon,2016,December,19
Austria,Algeria,2016,January,119
Austria,Algeria,2016,February,96
Austria,Algeria,2016,March,133
Austria,Algeria,2016,April,93
Austria,Algeria,2016,May,53
Austria,Algeria,2016,June,49
Austria,Algeria,2016,July,57
Austria,Algeria,2016,August,78
Austria,Algeria,2016,September,46
Austria,Algeria,2016,October,34
Austria,Algeria,2016,November,64
Austria,Algeria,2016,December,45
Australia,Venezuela (Bolivarian Republic of),2016,March,5
Australia,Thailand,2016,January,15
Australia,Thailand,2016,February,18
Australia,Thailand,2016,March,13
Australia,Thailand,2016,April,18
Australia,Thailand,2016,May,14
Australia,Thailand,2016,June,15
Australia,Thailand,2016,July,8
Australia,Thailand,2016,August,24
Australia,Thailand,2016,September,12
Australia,Thailand,2016,October,19
Australia,Thailand,2016,November,31
Australia,Thailand,2016,December,18
Australia,Tonga,2016,January,8
Australia,Tonga,2016,July,12
Australia,Tonga,2016,December,11
Australia,Turkey,2016,February,11
Australia,Turkey,2016,March,6
Australia,Turkey,2016,April,6
Australia,Turkey,2016,May,23
Australia,Turkey,2016,June,6
Australia,Turkey,2016,July,14
Australia,Turkey,2016,August,11
Australia,Turkey,2016,September,23
Australia,Turkey,2016,October,18
Australia,Turkey,2016,November,26
Australia,Turkey,2016,December,14
Australia,Uganda,2016,October,5
Australia,Ukraine,2016,April,6
Austria,China,2016,August,30
Australia,Zimbabwe,2016,January,5
Australia,Zimbabwe,2016,February,7
Australia,Zimbabwe,2016,March,8
Australia,Zimbabwe,2016,May,9
Australia,Zimbabwe,2016,July,6
Australia,Zimbabwe,2016,September,6
Australia,Zimbabwe,2016,October,10
Australia,Zimbabwe,2016,November,6
Austria,Afghanistan,2016,January,2015
Austria,Afghanistan,2016,February,1531
Austria,Afghanistan,2016,March,517
Austria,Afghanistan,2016,April,1106
Austria,Afghanistan,2016,May,1571
Austria,Afghanistan,2016,June,1170
Austria,Afghanistan,2016,July,923
Austria,Afghanistan,2016,August,742
Austria,Afghanistan,2016,September,518
Austria,Afghanistan,2016,October,527
Austria,Afghanistan,2016,November,469
Austria,Afghanistan,2016,December,417
Austria,Gambia,2016,January,41
Austria,Gambia,2016,February,28
Austria,Morocco,2016,January,208
Austria,Morocco,2016,February,94
Austria,Morocco,2016,March,187
Austria,Morocco,2016,April,62
Austria,Morocco,2016,May,84
Austria,Morocco,2016,June,50
Austria,Morocco,2016,July,45
Austria,Morocco,2016,August,106
Austria,Morocco,2016,September,54
Austria,Morocco,2016,October,13
Austria,Morocco,2016,November,21
Austria,Morocco,2016,December,29
Austria,Gambia,2016,March,27
Austria,Nigeria,2016,January,185
Austria,Nigeria,2016,February,153
Austria,Nigeria,2016,March,158
Austria,Nigeria,2016,April,132
Austria,Nigeria,2016,May,129
Austria,Nigeria,2016,June,79
Austria,Nigeria,2016,July,120
Austria,Nigeria,2016,August,137
Austria,Nigeria,2016,September,167
Austria,Nigeria,2016,October,117
Austria,Nigeria,2016,November,170
Austria,Nigeria,2016,December,112
Austria,India,2016,January,31
Austria,India,2016,February,34
Austria,India,2016,March,43
Austria,India,2016,April,35
Austria,India,2016,May,35
Austria,India,2016,June,30
Austria,India,2016,July,60
Austria,India,2016,August,53
Austria,India,2016,September,27
Austria,India,2016,October,27
Austria,India,2016,November,19
Austria,India,2016,December,13
Austria,Gambia,2016,April,24
Austria,Gambia,2016,May,11
Austria,Gambia,2016,June,21
Austria,Gambia,2016,July,15
Austria,Iran (Islamic Rep. of),2016,January,592
Austria,Iran (Islamic Rep. of),2016,February,382
Austria,Iran (Islamic Rep. of),2016,March,304
Austria,Iran (Islamic Rep. of),2016,April,233
Austria,Iran (Islamic Rep. of),2016,May,140
Austria,Iran (Islamic Rep. of),2016,June,79
Austria,Iran (Islamic Rep. of),2016,July,116
Austria,Iran (Islamic Rep. of),2016,August,164
Austria,Iran (Islamic Rep. of),2016,September,134
Austria,Iran (Islamic Rep. of),2016,October,126
Austria,Iran (Islamic Rep. of),2016,November,62
Austria,Iran (Islamic Rep. of),2016,December,83
Belgium,Algeria,2016,January,6
Belgium,Algeria,2016,February,*
Belgium,Algeria,2016,March,8
Belgium,Algeria,2016,April,*
Belgium,Algeria,2016,May,7
Belgium,Algeria,2016,July,*
Belgium,Algeria,2016,August,9
Belgium,Algeria,2016,September,21
Belgium,Algeria,2016,October,13
Belgium,Algeria,2016,November,*
Belgium,Algeria,2016,December,5
Austria,Iraq,2016,January,517
Austria,Iraq,2016,February,518
Austria,Iraq,2016,March,135
Austria,Iraq,2016,April,305
Austria,Iraq,2016,May,139
Austria,Iraq,2016,June,171
Austria,Iraq,2016,July,147
Austria,Iraq,2016,August,152
Austria,Iraq,2016,September,170
Austria,Iraq,2016,October,179
Austria,Iraq,2016,November,156
Austria,Iraq,2016,December,148
Austria,Ukraine,2016,January,12
Austria,Ukraine,2016,February,5
Austria,Ukraine,2016,March,34
Austria,Ukraine,2016,April,77
Austria,Ukraine,2016,May,19
Austria,Ukraine,2016,June,34
Austria,Ukraine,2016,July,41
Austria,Ukraine,2016,August,17
Austria,Ukraine,2016,September,15
Austria,Ukraine,2016,October,35
Austria,Ukraine,2016,November,21
Austria,Ukraine,2016,December,28
Belgium,Angola,2016,January,10
Belgium,Angola,2016,February,8
Belgium,Angola,2016,March,5
Belgium,Angola,2016,April,*
Belgium,Angola,2016,May,*
Belgium,Angola,2016,June,5
Belgium,Angola,2016,July,5
Belgium,Angola,2016,August,8
Belgium,Angola,2016,September,7
Belgium,Angola,2016,October,5
Belgium,Angola,2016,November,10
Belgium,Angola,2016,December,5
Belgium,Egypt,2016,January,*
Belgium,Egypt,2016,February,*
Belgium,Egypt,2016,March,*
Belgium,Egypt,2016,April,6
Belgium,Egypt,2016,May,*
Belgium,Egypt,2016,June,*
Belgium,Egypt,2016,July,13
Belgium,Egypt,2016,August,*
Belgium,Egypt,2016,September,5
Belgium,Egypt,2016,October,*
Belgium,Egypt,2016,November,*
Belgium,Egypt,2016,December,*
Austria,Georgia,2016,September,33
Austria,Georgia,2016,October,33
Austria,Georgia,2016,November,23
Austria,Georgia,2016,December,35
Austria,Syrian Arab Rep.,2016,January,1257
Austria,Syrian Arab Rep.,2016,February,1191
Austria,Syrian Arab Rep.,2016,March,694
Austria,Syrian Arab Rep.,2016,April,727
Austria,Syrian Arab Rep.,2016,May,659
Austria,Syrian Arab Rep.,2016,June,537
Austria,Syrian Arab Rep.,2016,July,638
Austria,Syrian Arab Rep.,2016,August,648
Austria,Syrian Arab Rep.,2016,September,531
Austria,Syrian Arab Rep.,2016,October,647
Austria,Syrian Arab Rep.,2016,November,586
Austria,Syrian Arab Rep.,2016,December,608
Belgium,Afghanistan,2016,January,740
Belgium,Afghanistan,2016,February,336
Belgium,Afghanistan,2016,March,202
Belgium,Afghanistan,2016,April,144
Belgium,Afghanistan,2016,May,127
Belgium,Afghanistan,2016,June,136
Belgium,Afghanistan,2016,July,129
Belgium,Afghanistan,2016,August,102
Belgium,Afghanistan,2016,September,71
Belgium,Afghanistan,2016,October,65
Belgium,Afghanistan,2016,November,83
Belgium,Afghanistan,2016,December,92
Belgium,Albania,2016,January,36
Belgium,Albania,2016,February,25
Belgium,Albania,2016,March,53
Belgium,Albania,2016,April,50
Belgium,Albania,2016,May,23
Belgium,Albania,2016,June,44
Belgium,Albania,2016,July,60
Belgium,Albania,2016,August,63
Belgium,Albania,2016,September,57
Belgium,Albania,2016,October,76
Belgium,Albania,2016,November,116
Belgium,Albania,2016,December,46
Belgium,Armenia,2016,January,9
Belgium,Armenia,2016,February,*
Belgium,Armenia,2016,March,11
Belgium,Armenia,2016,April,11
Belgium,Armenia,2016,May,9
Belgium,Armenia,2016,June,16
Belgium,Armenia,2016,July,17
Belgium,Armenia,2016,August,*
Belgium,Armenia,2016,September,18
Belgium,Armenia,2016,October,13
Belgium,Armenia,2016,November,13
Belgium,Armenia,2016,December,11
Belgium,Austria,2016,April,*
Austria,Somalia,2016,January,143
Austria,Somalia,2016,February,161
Austria,Somalia,2016,March,115
Austria,Somalia,2016,April,403
Austria,Somalia,2016,May,109
Austria,Somalia,2016,June,100
Austria,Somalia,2016,July,65
Austria,Somalia,2016,August,128
Austria,Somalia,2016,September,107
Austria,Somalia,2016,October,80
Austria,Somalia,2016,November,28
Austria,Somalia,2016,December,61
Austria,Stateless,2016,January,103
Austria,Stateless,2016,February,123
Austria,Stateless,2016,March,89
Austria,Stateless,2016,April,75
Austria,Stateless,2016,May,95
Austria,Stateless,2016,June,85
Austria,Stateless,2016,July,58
Austria,Stateless,2016,August,87
Austria,Stateless,2016,September,63
Austria,Stateless,2016,October,76
Austria,Stateless,2016,November,34
Austria,Stateless,2016,December,60
Belgium,Azerbaijan,2016,January,*
Belgium,Azerbaijan,2016,February,*
Belgium,Azerbaijan,2016,March,*
Belgium,Azerbaijan,2016,April,8
Belgium,Azerbaijan,2016,May,6
Belgium,Azerbaijan,2016,June,*
Belgium,Azerbaijan,2016,July,5
Belgium,Azerbaijan,2016,August,*
Belgium,Azerbaijan,2016,September,*
Belgium,Azerbaijan,2016,October,*
Belgium,Azerbaijan,2016,November,7
Belgium,Azerbaijan,2016,December,*
Austria,Turkey,2016,January,22
Austria,Turkey,2016,February,33
Austria,Turkey,2016,March,40
Austria,Turkey,2016,April,29
Austria,Turkey,2016,May,18
Austria,Turkey,2016,June,10
Austria,Turkey,2016,July,45
Austria,Turkey,2016,August,31
Austria,Turkey,2016,September,21
Austria,Turkey,2016,October,24
Austria,Turkey,2016,November,22
Austria,Turkey,2016,December,17
Austria,Pakistan,2016,January,105
Austria,Pakistan,2016,February,165
Austria,Pakistan,2016,March,299
Austria,Pakistan,2016,April,351
Austria,Pakistan,2016,May,342
Austria,Pakistan,2016,June,228
Austria,Pakistan,2016,July,236
Austria,Pakistan,2016,August,221
Austria,Pakistan,2016,September,136
Austria,Pakistan,2016,October,68
Austria,Pakistan,2016,November,93
Austria,Pakistan,2016,December,170
Belgium,Gabon,2016,May,*
Belgium,Gabon,2016,June,*
Belgium,Gabon,2016,July,*
Belgium,Gabon,2016,September,7
Belgium,Gabon,2016,October,*
Belgium,Gabon,2016,November,*
Belgium,Gambia,2016,January,*
Belgium,Gambia,2016,February,*
Belgium,Gambia,2016,March,*
Belgium,Gambia,2016,April,*
Belgium,Gambia,2016,May,*
Belgium,Gambia,2016,July,*
Belgium,Gambia,2016,August,*
Belgium,Gambia,2016,September,*
Belgium,Gambia,2016,October,6
Belgium,Gambia,2016,November,*
Belgium,Gambia,2016,December,*
Belgium,Palestinian,2016,January,*
Belgium,Palestinian,2016,May,*
Belgium,Palestinian,2016,June,*
Belgium,Palestinian,2016,July,*
Belgium,Palestinian,2016,September,*
Belgium,Palestinian,2016,October,28
Belgium,Palestinian,2016,November,33
Belgium,Palestinian,2016,December,70
Belgium,United Kingdom of Great Britain and Northern Ireland,2016,August,*
Belgium,Georgia,2016,January,18
Belgium,Georgia,2016,February,10
Belgium,Georgia,2016,March,18
Belgium,Georgia,2016,April,23
Belgium,Georgia,2016,May,7
Belgium,Georgia,2016,June,20
Belgium,Georgia,2016,July,9
Belgium,Georgia,2016,August,7
Belgium,Georgia,2016,September,13
Belgium,Georgia,2016,October,18
Belgium,Georgia,2016,November,13
Belgium,Georgia,2016,December,28
Belgium,Germany,2016,January,*
Belgium,Germany,2016,February,*
Belgium,China,2016,January,28
Belgium,China,2016,February,8
Belgium,China,2016,March,7
Belgium,China,2016,April,10
Belgium,China,2016,May,*
Belgium,China,2016,June,*
Belgium,China,2016,July,10
Belgium,China,2016,August,12
Belgium,China,2016,September,5
Belgium,China,2016,October,13
Belgium,China,2016,November,13
Belgium,China,2016,December,13
Belgium,Chile,2016,February,*
Belgium,Chile,2016,April,*
Austria,Russian Federation,2016,January,101
Austria,Russian Federation,2016,February,77
Austria,Russian Federation,2016,March,95
Austria,Russian Federation,2016,April,89
Austria,Russian Federation,2016,May,99
Austria,Russian Federation,2016,June,122
Austria,Russian Federation,2016,July,96
Austria,Russian Federation,2016,August,131
Austria,Russian Federation,2016,September,125
Austria,Russian Federation,2016,October,111
Austria,Russian Federation,2016,November,79
Austria,Russian Federation,2016,December,110
Belgium,Djibouti,2016,January,8
Belgium,Djibouti,2016,February,*
Belgium,Djibouti,2016,March,9
Belgium,Djibouti,2016,April,7
Belgium,Djibouti,2016,May,*
Belgium,Djibouti,2016,June,*
Belgium,Djibouti,2016,July,6
Belgium,Djibouti,2016,August,21
Belgium,Djibouti,2016,September,6
Belgium,Djibouti,2016,October,6
Belgium,Djibouti,2016,November,7
Belgium,Djibouti,2016,December,*
Belgium,Dominican Rep.,2016,May,*
Belgium,Dominican Rep.,2016,June,7
Belgium,Dominican Rep.,2016,July,*
Belgium,Ecuador,2016,May,*
Belgium,Belarus,2016,March,*
Belgium,Belarus,2016,April,*
Belgium,Belarus,2016,May,*
Belgium,Belarus,2016,July,*
Belgium,Belarus,2016,August,*
Belgium,Belarus,2016,September,*
Belgium,Belarus,2016,October,*
Belgium,Belarus,2016,November,6
Belgium,Belarus,2016,December,*
Belgium,Ghana,2016,January,*
Belgium,Ghana,2016,February,*
Belgium,Ghana,2016,March,*
Belgium,Ghana,2016,May,*
Belgium,Ghana,2016,June,*
Belgium,Ghana,2016,August,*
Belgium,Ghana,2016,September,5
Belgium,Ghana,2016,October,*
Belgium,Ghana,2016,November,5
Belgium,Ghana,2016,December,*
Belgium,Equatorial Guinea,2016,March,*
Belgium,Guinea-Bissau,2016,September,*
Belgium,Guinea-Bissau,2016,October,*
Belgium,Guinea-Bissau,2016,November,*
Belgium,Guinea-Bissau,2016,December,*
Belgium,Greece,2016,February,*
Belgium,Guatemala,2016,January,*
Belgium,Guatemala,2016,May,*
Belgium,Brazil,2016,January,*
Belgium,Brazil,2016,December,5
Belgium,Cameroon,2016,January,36
Belgium,Cameroon,2016,February,20
Belgium,Cameroon,2016,March,15
Belgium,Cameroon,2016,April,22
Belgium,Cameroon,2016,May,17
Belgium,Cameroon,2016,June,15
Belgium,Cameroon,2016,July,17
Belgium,Cameroon,2016,August,20
Belgium,Cameroon,2016,September,14
Belgium,Cameroon,2016,October,33
Belgium,Cameroon,2016,November,25
Belgium,Cameroon,2016,December,23
Belgium,Congo,2016,January,*
Belgium,Bosnia and Herzegovina,2016,February,6
Belgium,Bosnia and Herzegovina,2016,March,*
Belgium,Bosnia and Herzegovina,2016,May,*
Belgium,Bosnia and Herzegovina,2016,June,6
Belgium,Bosnia and Herzegovina,2016,July,5
Belgium,Bosnia and Herzegovina,2016,August,*
Belgium,Bosnia and Herzegovina,2016,September,*
Belgium,Bosnia and Herzegovina,2016,October,*
Belgium,Bosnia and Herzegovina,2016,November,*
Belgium,Bosnia and Herzegovina,2016,December,5
Belgium,Eritrea,2016,January,27
Belgium,Eritrea,2016,February,16
Belgium,Eritrea,2016,March,28
Belgium,Eritrea,2016,April,9
Belgium,Eritrea,2016,May,21
Belgium,Eritrea,2016,June,19
Belgium,Eritrea,2016,July,29
Belgium,Eritrea,2016,August,52
Belgium,Eritrea,2016,September,21
Belgium,Eritrea,2016,October,31
