Country,Origin,Year,Month,Value
Australia,Eritrea,2015,July,2
Australia,Eritrea,2015,August,1
Australia,Eritrea,2015,September,3
Australia,Eritrea,2015,November,1
Australia,Eritrea,2015,December,1
Australia,Estonia,2015,February,1
Australia,Estonia,2015,June,1
Australia,Estonia,2015,September,1
Australia,Canada,2015,April,2
Australia,Algeria,2015,March,1
Australia,Algeria,2015,September,2
Australia,Andorra,2015,March,1
Australia,Ethiopia,2015,January,4
Australia,Ethiopia,2015,February,4
Australia,Ethiopia,2015,March,5
Australia,Ethiopia,2015,April,5
Australia,Ethiopia,2015,May,5
Australia,Ethiopia,2015,June,1
Australia,Ethiopia,2015,July,8
Australia,Ethiopia,2015,August,7
Australia,Ethiopia,2015,September,5
Australia,Ethiopia,2015,October,7
Australia,Ethiopia,2015,November,7
Australia,Ethiopia,2015,December,7
Australia,"China, Hong Kong SAR",2015,January,3
Australia,"China, Hong Kong SAR",2015,February,2
Australia,"China, Hong Kong SAR",2015,March,7
Australia,"China, Hong Kong SAR",2015,April,6
Australia,"China, Hong Kong SAR",2015,May,4
Australia,"China, Hong Kong SAR",2015,June,6
Australia,"China, Hong Kong SAR",2015,July,7
Australia,"China, Hong Kong SAR",2015,August,2
Australia,"China, Hong Kong SAR",2015,September,9
Australia,"China, Hong Kong SAR",2015,October,9
Australia,"China, Hong Kong SAR",2015,November,7
Australia,"China, Hong Kong SAR",2015,December,6
Australia,Honduras,2015,January,4
Australia,Hungary,2015,August,3
Australia,Hungary,2015,October,3
Australia,Hungary,2015,December,4
Australia,Fiji,2015,January,17
Australia,Fiji,2015,February,20
Australia,Fiji,2015,March,21
Australia,Fiji,2015,April,11
Australia,Fiji,2015,May,18
Australia,Fiji,2015,June,30
Australia,Fiji,2015,July,22
Australia,Fiji,2015,August,20
Australia,Fiji,2015,September,10
Australia,Fiji,2015,October,49
Australia,Fiji,2015,November,18
Australia,Fiji,2015,December,14
Australia,China,2015,January,80
Australia,China,2015,February,95
Australia,China,2015,March,123
Australia,China,2015,April,109
Australia,China,2015,May,132
Australia,China,2015,June,147
Australia,China,2015,July,141
Australia,China,2015,August,128
Australia,China,2015,September,161
Australia,China,2015,October,112
Australia,China,2015,November,115
Australia,China,2015,December,113
Australia,Egypt,2015,January,7
Australia,Egypt,2015,February,8
Australia,Egypt,2015,March,26
Australia,Egypt,2015,April,5
Australia,Egypt,2015,May,5
Australia,Egypt,2015,June,17
Australia,Egypt,2015,July,4
Australia,Egypt,2015,August,6
Australia,Egypt,2015,September,11
Australia,Egypt,2015,October,8
Australia,Egypt,2015,November,4
Australia,Egypt,2015,December,14
Australia,India,2015,January,35
Australia,India,2015,February,49
Australia,India,2015,March,52
Australia,India,2015,April,46
Australia,India,2015,May,65
Australia,India,2015,June,47
Australia,India,2015,July,66
Australia,India,2015,August,55
Australia,India,2015,September,67
Australia,India,2015,October,67
Australia,India,2015,November,45
Australia,India,2015,December,58
Australia,France,2015,January,2
Australia,France,2015,March,3
Australia,France,2015,October,1
Australia,France,2015,November,1
Australia,Gambia,2015,September,1
Australia,Gambia,2015,December,1
Australia,Argentina,2015,June,1
Australia,Argentina,2015,July,5
Australia,Argentina,2015,August,1
Australia,Australia,2015,May,2
Australia,Azerbaijan,2015,January,3
Australia,Azerbaijan,2015,July,5
Australia,Sierra Leone,2015,March,1
Australia,Sierra Leone,2015,May,1
Australia,Sierra Leone,2015,August,4
Australia,Sierra Leone,2015,October,1
Australia,Sierra Leone,2015,December,5
Australia,Solomon Islands,2015,January,2
Australia,Solomon Islands,2015,April,1
Australia,Solomon Islands,2015,May,2
Australia,Solomon Islands,2015,June,2
Australia,Solomon Islands,2015,July,2
Australia,Solomon Islands,2015,August,4
Australia,Solomon Islands,2015,September,3
Australia,Solomon Islands,2015,October,1
Australia,Solomon Islands,2015,November,3
Australia,Solomon Islands,2015,December,4
Australia,Somalia,2015,April,2
Australia,Somalia,2015,May,2
Australia,Somalia,2015,June,1
Australia,Somalia,2015,September,1
Australia,Somalia,2015,November,3
Australia,Somalia,2015,December,5
Australia,Spain,2015,January,1
Australia,Spain,2015,May,1
Australia,Viet Nam,2015,January,5
Australia,Viet Nam,2015,February,9
Australia,Viet Nam,2015,March,10
Australia,Viet Nam,2015,April,8
Australia,Viet Nam,2015,May,11
Australia,Viet Nam,2015,June,15
Australia,Viet Nam,2015,July,9
Australia,Viet Nam,2015,August,21
Australia,Viet Nam,2015,September,27
Australia,Viet Nam,2015,October,34
Australia,Viet Nam,2015,November,28
Australia,Viet Nam,2015,December,46
Australia,Myanmar,2015,February,1
Australia,Myanmar,2015,April,3
Australia,Myanmar,2015,May,1
Australia,Myanmar,2015,June,1
Australia,Myanmar,2015,July,5
Australia,Myanmar,2015,August,4
Australia,Myanmar,2015,September,3
Australia,Myanmar,2015,October,1
Australia,Myanmar,2015,November,1
Australia,Jordan,2015,April,3
Australia,Jordan,2015,May,3
Australia,Jordan,2015,June,8
Australia,Jordan,2015,July,1
Australia,Jordan,2015,August,4
Australia,Jordan,2015,September,6
Australia,Jordan,2015,October,11
Australia,Jordan,2015,November,5
Australia,Jordan,2015,December,1
Australia,Kazakhstan,2015,February,2
Australia,Philippines,2015,January,5
Australia,Philippines,2015,February,3
Australia,Philippines,2015,March,6
Australia,Philippines,2015,April,7
Australia,Philippines,2015,May,4
Australia,Philippines,2015,June,6
Australia,Philippines,2015,July,4
Australia,Philippines,2015,August,3
Australia,Philippines,2015,September,8
Australia,Philippines,2015,October,13
Australia,Philippines,2015,November,6
Australia,Philippines,2015,December,11
Australia,Sri Lanka,2015,January,5
Australia,Sri Lanka,2015,February,10
Australia,Sri Lanka,2015,March,16
Australia,Sri Lanka,2015,April,25
Australia,Sri Lanka,2015,May,21
Australia,Sri Lanka,2015,June,22
Australia,Sri Lanka,2015,July,32
Australia,Sri Lanka,2015,August,51
Australia,Sri Lanka,2015,September,151
Australia,Sri Lanka,2015,October,215
Australia,Sri Lanka,2015,November,124
Australia,Sri Lanka,2015,December,134
Australia,Latvia,2015,May,1
Australia,"China, Macao SAR",2015,March,1
Australia,"China, Macao SAR",2015,August,1
Australia,Stateless,2015,January,1
Australia,Stateless,2015,February,2
Australia,Stateless,2015,March,2
Australia,Stateless,2015,May,2
Australia,Stateless,2015,June,3
Australia,Stateless,2015,July,10
Australia,Stateless,2015,August,30
Australia,Stateless,2015,September,38
Australia,Stateless,2015,October,39
Australia,Stateless,2015,November,36
Australia,Stateless,2015,December,45
Australia,Sudan,2015,January,3
Australia,Sudan,2015,February,1
Australia,Sudan,2015,March,3
Australia,Sudan,2015,May,2
Australia,Sudan,2015,June,1
Australia,Sudan,2015,August,2
Australia,Sudan,2015,September,1
Australia,Sudan,2015,October,3
Australia,Sudan,2015,November,1
Australia,Sudan,2015,December,2
Australia,Slovenia,2015,July,1
Australia,Sweden,2015,June,1
Australia,Sweden,2015,August,1
Australia,Nepal,2015,January,8
Australia,Nepal,2015,February,5
Australia,Nepal,2015,March,12
Australia,Nepal,2015,April,10
Australia,Nepal,2015,May,25
Australia,Nepal,2015,June,11
Australia,Nepal,2015,July,21
Australia,Nepal,2015,August,17
Australia,Nepal,2015,September,17
Australia,Nepal,2015,October,11
Australia,Nepal,2015,November,10
Australia,Nepal,2015,December,9
Australia,Nigeria,2015,January,2
Australia,Nigeria,2015,February,6
Australia,Nigeria,2015,March,8
Australia,Nigeria,2015,April,10
Australia,Nigeria,2015,May,11
Australia,Nigeria,2015,June,5
Australia,Nigeria,2015,July,9
Australia,Nigeria,2015,August,2
Australia,Nigeria,2015,September,5
Australia,Nigeria,2015,October,4
Australia,Nigeria,2015,November,10
Australia,Nigeria,2015,December,9
Australia,Syrian Arab Rep.,2015,January,8
Australia,Syrian Arab Rep.,2015,February,8
Australia,Syrian Arab Rep.,2015,March,2
Australia,Syrian Arab Rep.,2015,April,4
Australia,Syrian Arab Rep.,2015,May,4
Australia,Syrian Arab Rep.,2015,June,9
Australia,Syrian Arab Rep.,2015,July,1
Australia,Syrian Arab Rep.,2015,August,4
Australia,Syrian Arab Rep.,2015,September,15
Australia,Syrian Arab Rep.,2015,October,15
Australia,Syrian Arab Rep.,2015,November,4
Australia,Syrian Arab Rep.,2015,December,12
Australia,United Rep. of Tanzania,2015,February,1
Australia,United Rep. of Tanzania,2015,March,1
Australia,United Rep. of Tanzania,2015,May,2
Australia,Norway,2015,September,7
Australia,New Zealand,2015,January,1
Australia,New Zealand,2015,March,2
Australia,New Zealand,2015,April,3
Australia,New Zealand,2015,May,1
Australia,New Zealand,2015,September,1
Australia,New Zealand,2015,December,1
Australia,Oman,2015,September,1
Australia,The former Yugoslav Rep. of Macedonia,2015,March,2
Australia,The former Yugoslav Rep. of Macedonia,2015,August,1
Australia,The former Yugoslav Rep. of Macedonia,2015,October,5
Australia,Maldives,2015,February,1
Australia,Maldives,2015,March,1
Australia,Maldives,2015,July,1
Australia,Maldives,2015,November,3
Australia,Kenya,2015,January,3
Australia,Kenya,2015,February,2
Australia,Kenya,2015,March,3
Australia,Kenya,2015,April,2
Australia,Kenya,2015,May,3
Australia,Kenya,2015,June,8
Australia,Kenya,2015,July,2
Australia,Kenya,2015,August,2
Australia,Kenya,2015,September,4
Australia,Kenya,2015,October,5
Australia,Kenya,2015,November,4
Australia,Kenya,2015,December,1
Australia,Kyrgyzstan,2015,May,3
Australia,Kyrgyzstan,2015,June,2
Australia,Kyrgyzstan,2015,July,1
Australia,Kyrgyzstan,2015,August,4
Australia,Kyrgyzstan,2015,November,1
Australia,Kyrgyzstan,2015,December,2
Australia,Papua New Guinea,2015,January,5
Australia,Papua New Guinea,2015,February,7
Australia,Papua New Guinea,2015,March,21
Australia,Papua New Guinea,2015,April,6
Australia,Papua New Guinea,2015,May,9
Australia,Papua New Guinea,2015,June,9
Australia,Papua New Guinea,2015,July,15
Australia,Papua New Guinea,2015,August,8
Australia,Papua New Guinea,2015,September,14
Australia,Papua New Guinea,2015,October,8
Australia,Papua New Guinea,2015,November,4
Australia,Papua New Guinea,2015,December,9
Australia,Poland,2015,January,1
Australia,Poland,2015,March,1
Australia,Poland,2015,May,2
Australia,Poland,2015,June,1
Australia,Poland,2015,July,1
Australia,Poland,2015,September,3
Australia,Qatar,2015,March,1
Australia,Romania,2015,March,4
Australia,Romania,2015,September,2
Australia,Romania,2015,October,1
Australia,Mexico,2015,March,2
Australia,Mexico,2015,June,2
Australia,Mexico,2015,August,3
Australia,Mali,2015,July,1
Australia,Malaysia,2015,January,114
Australia,Malaysia,2015,February,114
Australia,Malaysia,2015,March,128
Australia,Malaysia,2015,April,140
Australia,Malaysia,2015,May,157
Australia,Malaysia,2015,June,220
Australia,Malaysia,2015,July,273
Australia,Malaysia,2015,August,299
Australia,Malaysia,2015,September,360
Australia,Malaysia,2015,October,314
Australia,Malaysia,2015,November,346
Australia,Malaysia,2015,December,302
Australia,Rep. of Korea,2015,January,12
Australia,Rep. of Korea,2015,February,10
Australia,Rep. of Korea,2015,March,4
Australia,Rep. of Korea,2015,April,8
Australia,Rep. of Korea,2015,May,18
Australia,Rep. of Korea,2015,June,6
Australia,Rep. of Korea,2015,July,2
Australia,Rep. of Korea,2015,August,4
Australia,Rep. of Korea,2015,September,3
Australia,Rep. of Korea,2015,October,6
Australia,Rep. of Korea,2015,November,13
Australia,Rep. of Korea,2015,December,5
Australia,Kuwait,2015,March,3
Australia,Kuwait,2015,May,1
Australia,Kuwait,2015,June,2
Australia,Kuwait,2015,October,1
Australia,Lao People's Dem. Rep.,2015,April,1
Australia,Lao People's Dem. Rep.,2015,October,4
Australia,Liberia,2015,February,2
Australia,Liberia,2015,April,3
Australia,Liberia,2015,July,1
Australia,Liberia,2015,August,1
Australia,Liberia,2015,November,1
Australia,Liberia,2015,December,3
Australia,Libya,2015,January,9
Australia,Libya,2015,February,38
Australia,Libya,2015,March,22
Australia,Libya,2015,April,23
Australia,Libya,2015,May,3
Australia,Libya,2015,June,16
Australia,Libya,2015,July,26
Australia,Libya,2015,August,10
Australia,Libya,2015,September,9
Australia,Libya,2015,October,4
Australia,Libya,2015,November,19
Australia,Libya,2015,December,7
Australia,South Africa,2015,January,1
Australia,South Africa,2015,February,2
Australia,South Africa,2015,March,3
Australia,South Africa,2015,May,14
Australia,South Africa,2015,June,6
Australia,South Africa,2015,July,3
Australia,South Africa,2015,August,2
Australia,South Africa,2015,September,3
Australia,South Africa,2015,October,3
Australia,South Africa,2015,November,2
Australia,Mongolia,2015,January,2
Australia,Mongolia,2015,February,5
Australia,Mongolia,2015,April,1
Australia,Mongolia,2015,May,4
Australia,Mongolia,2015,June,2
Australia,Mongolia,2015,July,3
Australia,Mongolia,2015,December,2
Australia,Morocco,2015,December,1
Australia,Malta,2015,August,1
Australia,Russian Federation,2015,January,1
Australia,Russian Federation,2015,February,2
Australia,Russian Federation,2015,March,2
Australia,Russian Federation,2015,April,1
Australia,Russian Federation,2015,May,4
Australia,Russian Federation,2015,June,1
Australia,Russian Federation,2015,July,2
Australia,Russian Federation,2015,September,1
Australia,Russian Federation,2015,November,1
Australia,Pakistan,2015,January,37
Australia,Pakistan,2015,February,44
Australia,Pakistan,2015,March,74
Australia,Pakistan,2015,April,71
Australia,Pakistan,2015,May,38
Australia,Pakistan,2015,June,72
Australia,Pakistan,2015,July,50
Australia,Pakistan,2015,August,45
Australia,Pakistan,2015,September,60
Australia,Pakistan,2015,October,58
Australia,Pakistan,2015,November,34
Australia,Pakistan,2015,December,59
Australia,Mauritius,2015,February,2
Australia,Mauritius,2015,March,2
Australia,Mauritius,2015,April,2
Australia,Mauritius,2015,June,4
Australia,Mauritius,2015,August,1
Australia,Mauritius,2015,October,9
Australia,Mauritius,2015,December,1
Australia,Peru,2015,March,1
Australia,Peru,2015,May,2
Australia,Peru,2015,June,1
Australia,Peru,2015,July,1
Australia,Peru,2015,August,3
Australia,Peru,2015,September,1
Australia,Peru,2015,October,1
Australia,Rwanda,2015,January,12
Australia,Rwanda,2015,March,2
Australia,Rwanda,2015,April,1
Australia,Rwanda,2015,June,4
Australia,Rwanda,2015,July,8
Australia,Rwanda,2015,August,1
Australia,Rwanda,2015,September,1
Australia,Rwanda,2015,December,6
Australia,El Salvador,2015,March,3
Australia,El Salvador,2015,April,1
Australia,El Salvador,2015,June,3
Australia,Saudi Arabia,2015,February,4
Australia,Saudi Arabia,2015,March,3
Australia,Saudi Arabia,2015,June,5
Australia,Saudi Arabia,2015,July,2
Australia,Saudi Arabia,2015,August,3
Australia,Saudi Arabia,2015,September,4
Australia,Saudi Arabia,2015,October,1
Australia,Saudi Arabia,2015,November,2
Australia,Saudi Arabia,2015,December,1
Australia,Lebanon,2015,January,6
Australia,Lebanon,2015,February,8
Australia,Lebanon,2015,March,20
Australia,Lebanon,2015,April,9
Australia,Lebanon,2015,May,10
Australia,Lebanon,2015,June,15
Australia,Lebanon,2015,July,5
Australia,Lebanon,2015,August,14
Australia,Lebanon,2015,September,17
Australia,Lebanon,2015,October,11
Australia,Lebanon,2015,November,16
Australia,Lebanon,2015,December,26
Australia,Senegal,2015,October,1
Australia,Singapore,2015,January,3
Australia,Singapore,2015,July,4
Australia,Singapore,2015,August,1
Australia,Singapore,2015,October,2
Australia,Singapore,2015,December,1
Austria,Bangladesh,2015,January,7
Austria,Algeria,2015,January,43
Austria,Algeria,2015,February,61
Austria,Algeria,2015,March,56
Austria,Algeria,2015,April,76
Austria,Algeria,2015,May,95
Austria,Algeria,2015,June,113
Austria,Algeria,2015,July,89
Austria,Algeria,2015,August,55
Austria,Algeria,2015,September,40
Austria,Algeria,2015,October,53
Austria,Algeria,2015,November,64
Austria,Algeria,2015,December,76
Australia,United States of America,2015,January,1
Australia,United States of America,2015,February,2
Australia,United States of America,2015,March,5
Australia,United States of America,2015,July,1
Australia,United States of America,2015,September,4
Australia,United States of America,2015,October,3
Australia,United States of America,2015,November,3
Australia,United States of America,2015,December,2
Australia,Uzbekistan,2015,June,1
Australia,Uzbekistan,2015,August,1
Australia,Uzbekistan,2015,November,3
Australia,Venezuela (Bolivarian Republic of),2015,February,4
Australia,Venezuela (Bolivarian Republic of),2015,March,1
Australia,Venezuela (Bolivarian Republic of),2015,April,1
Australia,Venezuela (Bolivarian Republic of),2015,May,2
Australia,Venezuela (Bolivarian Republic of),2015,June,1
Australia,Venezuela (Bolivarian Republic of),2015,September,6
Australia,Venezuela (Bolivarian Republic of),2015,October,2
Australia,Venezuela (Bolivarian Republic of),2015,November,1
Australia,Thailand,2015,February,4
Australia,Thailand,2015,March,4
Australia,Thailand,2015,April,11
Australia,Thailand,2015,May,2
Australia,Thailand,2015,June,1
Australia,Thailand,2015,July,9
Australia,Thailand,2015,August,7
Australia,Thailand,2015,September,11
Australia,Thailand,2015,October,7
Australia,Thailand,2015,November,23
Australia,Thailand,2015,December,30
Australia,Tibetan,2015,February,1
Australia,Tibetan,2015,October,1
Austria,Bangladesh,2015,February,10
Austria,Bangladesh,2015,March,18
Austria,Bangladesh,2015,April,27
Austria,Bangladesh,2015,May,55
Austria,Bangladesh,2015,June,42
Austria,Bangladesh,2015,July,145
Austria,Bangladesh,2015,August,275
Austria,Bangladesh,2015,September,46
Austria,Bangladesh,2015,October,20
Austria,Bangladesh,2015,November,47
Austria,Bangladesh,2015,December,17
Australia,Tonga,2015,January,5
Australia,Tonga,2015,March,6
Australia,Tonga,2015,May,1
Australia,Tonga,2015,June,1
Australia,Tonga,2015,August,1
Australia,Tonga,2015,September,2
Australia,Tonga,2015,October,9
Australia,Tonga,2015,November,3
Australia,Tonga,2015,December,6
Australia,Tunisia,2015,March,1
Australia,Turkey,2015,January,3
Australia,Turkey,2015,February,3
Australia,Turkey,2015,March,13
Australia,Turkey,2015,April,3
Australia,Turkey,2015,June,6
Australia,Turkey,2015,July,1
Australia,Turkey,2015,August,12
Australia,Turkey,2015,September,8
Australia,Turkey,2015,October,9
Australia,Turkey,2015,November,8
Australia,Turkey,2015,December,7
Australia,United Arab Emirates,2015,August,1
Australia,Uganda,2015,January,1
Australia,Uganda,2015,March,1
Australia,Uganda,2015,June,1
Australia,Uganda,2015,September,3
Australia,Uganda,2015,October,1
Australia,Uganda,2015,December,1
Australia,Ukraine,2015,January,5
Australia,Ukraine,2015,March,5
Australia,Ukraine,2015,April,4
Australia,Ukraine,2015,May,2
Australia,Ukraine,2015,June,2
Australia,Ukraine,2015,July,1
Australia,Ukraine,2015,September,7
Australia,Ukraine,2015,October,2
Australia,Uruguay,2015,June,1
Australia,Samoa,2015,January,7
Australia,Samoa,2015,August,1
Australia,South Sudan,2015,February,2
Australia,South Sudan,2015,May,5
Australia,South Sudan,2015,September,1
Australia,South Sudan,2015,October,1
Australia,Yemen,2015,May,1
Australia,Yemen,2015,June,1
Australia,Zambia,2015,January,4
Australia,Zambia,2015,March,1
Australia,Zambia,2015,June,2
Australia,Zambia,2015,September,4
Australia,Zambia,2015,November,1
Australia,Zambia,2015,December,1
Australia,Zimbabwe,2015,January,12
Australia,Zimbabwe,2015,February,2
Australia,Zimbabwe,2015,March,11
Australia,Zimbabwe,2015,April,2
Australia,Zimbabwe,2015,May,4
Australia,Zimbabwe,2015,June,1
Australia,Zimbabwe,2015,July,4
Australia,Zimbabwe,2015,August,1
Australia,Zimbabwe,2015,November,2
Australia,Zimbabwe,2015,December,5
Austria,Afghanistan,2015,January,645
Austria,Afghanistan,2015,February,422
Austria,Afghanistan,2015,March,566
Austria,Afghanistan,2015,April,737
Austria,Afghanistan,2015,May,1491
Austria,Afghanistan,2015,June,1812
Austria,Afghanistan,2015,July,2757
